50.000000 -121 -122 -11
50.000000 -120 -119 -1
50.000000 -122 -119 0
50.000000 -122 -118 1
50.000000 -121 -121 -8
50.000000 -122 -121 -5
50.000000 -121 -121 -4
50.000000 -120 -121 -7
50.000000 -123 -121 -4
50.000000 -121 -120 -1
50.000000 -122 -119 0
50.000000 -122 -120 -1
50.000000 -121 -121 -2
50.000000 -120 -119 0
50.000000 -120 -121 -2
50.000000 -121 -121 -6
50.000000 -122 -121 -9
50.000000 -122 -120 -4
50.000000 -121 -122 -6
50.000000 -121 -121 -5
50.000000 -119 -122 -9
50.000000 -121 -120 -1
50.000000 -120 -118 1
50.000000 -121 -121 -1
